tg,f_157,drive_amp_1,drive_amp_2,detune_1,detune_2,f_300,f_500
20.0,-1.63312234,0.247986,0.058597,-0.019272,-0.016288,-1.6315405,-1.63099993
25.0,-2.36741531,0.179494,0.046241,-0.003228,-0.000476,-2.36483446,-2.36533832
30.0,-3.07440094,0.144862,0.038029,0.000865,0.003487,-3.06995421,-3.07548698
35.0,-3.79677893,0.121768,0.032286,0.001859,0.004392,-3.79407318,-3.78918853
39.991886,-4.17799592,0.104909,0.028041,0.002101,0.003946,-4.21446237,-4.16587705
45.572781,-4.57330193,0.09096,0.024445,0.002067,0.003452,-4.60535449,-4.51323188
50.273215,-4.88566518,0.081847,0.022073,0.001926,0.003046,-4.92755237,-4.77816416
55.267802,-5.18287414,0.073999,0.020011,0.001734,0.00265,-5.14351154,-5.01473528
59.087372,-5.38962261,0.068941,0.018682,0.001583,0.002376,-5.21768775,-5.16192476
64.670051,-5.48483189,0.06271,0.017022,0.0014,0.002053,-5.41403403,-5.34154973
69.959216,-5.67787717,0.057773,0.015699,0.001245,0.001799,-5.57622453,-5.47754045
79.95019,-5.9019535,0.05031,0.013698,0.001001,0.001419,-5.78193928,-5.65675648
89.941635,-6.03885745,0.044572,0.01215,0.000817,0.001147,-5.87004096,-5.75872784
99.933208,-6.03991676,0.040021,0.010919,0.000677,0.000941,-5.92722554,-5.7925898
109.925012,-6.07198189,0.036315,0.009915,0.000569,0.000786,-5.94509415,-5.81550284
119.916936,-6.11215229,0.03325,0.009081,0.000486,0.000668,-5.90753113,-5.7643355
